coculture,n_T,enrich_T,n_noT,enrich_noT,p,delta,q
PDA,7,1.012,9,1.157,0.11207458556926542,-0.4920634920634921,0.44829834227706167
PDA+CAF,7,0.673,15,1.158,0.2371939206304531,-0.33333333333333337,0.4743878412609062
PDA+MAC,6,0.6625000000000001,15,0.887,0.9698510983340705,-0.022222222222222254,0.9698510983340705
PDA+CAF+MAC,7,0.731,17,1.082,0.5342324850334005,-0.17647058823529416,0.7123099800445339
