compound,n,fold_per_day,delta_vs_control,p,q
control,17,1.309264582397139,0.0,,
kras low,12,1.0627138122143678,-0.5098039215686274,0.022580519488723572,0.08286248379044715
kras high,3,0.9920900946961525,-0.6470588235294117,0.09298245614035087,0.1394736842105263
Src low,8,1.10165639471991,-0.5441176470588236,0.03128030880891293,0.08286248379044715
Src high,4,1.1787006425541673,-0.2941176470588235,0.41035923141186303,0.410359231411863
low kras+Src,15,1.1299694007144017,-0.4274509803921569,0.041431241895223576,0.08286248379044715
high kras+Src,4,1.1088047228075106,-0.5294117647058824,0.11996658312447787,0.14395989974937345
