coculture,n,fold_per_day,delta_vs_PDA,p,q
PDA,16,1.3095653474743019,0.0,1.0,1.0
PDA+CAF,16,1.0996389112549627,-0.7265625,0.0004898889212725091,0.0009797778425450182
PDA+MAC,15,1.2232797850806285,-0.41666666666666663,0.05038753776997539,0.06718338369330053
PDA+CAF+MAC,16,0.8915370664240894,-0.9609375,3.89528986724974e-06,1.558115946899896e-05
