feature,auc_mac,auc_tcell,separation
bf_fine_med_px,0.4783950617283951,0.7896825396825397,0.3112874779541446
bf_depth_mean,0.7561728395061729,0.5773809523809523,0.17879188712522054
bf_particle_med_px,0.23919753086419754,0.3273809523809524,0.08818342151675485
bf_particles,0.5401234567901234,0.5873015873015873,0.04717813051146391
