grup,n_mac,n_nomac,diam_mac,diam_nomac,auc_diam,greenpos_mac,greenpos_nomac,auc_greencov,sol_mac,sol_nomac,auc_sol
CAF− / T−,240,484,120.7,102.05,0.5651515151515152,0.3625,0.09917355371900827,0.654704717630854,0.891,0.9085000000000001,0.47676480716253444
CAF− / T+,115,440,109.8,123.5,0.49374505928853757,0.2782608695652174,0.2590909090909091,0.4930434782608696,0.787,0.8385,0.46364624505928853
CAF+ / T−,256,235,96.69999999999999,103.1,0.4814660904255319,0.1875,0.23829787234042554,0.4815990691489362,0.7455,0.834,0.42093583776595744
CAF+ / T+,201,189,88.8,109.2,0.4214509463265682,0.07462686567164178,0.10052910052910052,0.49656479507225776,0.861,0.856,0.5143067730132407
