channel,feature,auc_mac,p,q
orange,orange_area_frac,0.06790123456790123,1.0167292260121943e-05,6.117604516293153e-05
orange,orange_int_mean,0.22839506172839505,0.005633616187076086,0.010140509136736954
orange,orange_obj_med_px,0.2916666666666667,0.03244659804194319,0.04866989706291478
green,green_area_frac,0.5987654320987654,0.31895098736180794,0.35881986078203393
green,green_int_mean,0.3888888888888889,0.26136517590616637,0.33604094045078536
green,green_obj_med_px,0.4660493827160494,0.7394917895334814,0.7394917895334814
nir,nir_area_frac,0.1388888888888889,0.00022789861951546706,0.0006836958585464012
nir,nir_int_mean,0.07407407407407407,1.3594676702873674e-05,6.117604516293153e-05
nir,nir_obj_med_px,0.20679012345679013,0.0027006575363624804,0.006076479456815581
