z,green,orange,nir
0,0.1651376146788991,0.3010424612255276,0.0
1,0.2433993399339934,0.2931722661309508,
2,0.26347166305357694,0.31842243791070024,0.17548746518105848
3,0.44136061216845335,0.3388536728115023,0.22187196896217265
4,0.4984539220062492,0.3513530011634086,0.24796338672768878
5,0.5577026523772086,0.3593607980367206,0.2969123410763789
6,0.5855600234171022,0.37766592288931555,0.3373258090521709
7,0.5656434844954293,0.3915195982405214,0.3533533533533533
8,0.5482278371852363,0.39610879403673793,0.3559586502828165
9,0.5284007712235554,0.39401690873618034,0.21259144313899356
10,0.539839496651726,0.4165942143534619,0.20261437908496732
11,0.5448976631886085,0.4628528338103481,0.2758335629650041
12,0.5617218365431232,0.4777782665434977,0.22267716535433071
13,0.5764190485809514,0.4650041857987265,0.28433641975308643
14,0.5668024544938896,0.45226130653266333,0.30966952264381886
15,0.553624447823883,0.4425176274956539,0.18849840255591055
16,0.47796746066214546,0.43827993944601285,0.024390243902439025
