compound,n,death_index,nir_area,delta_vs_control,p,q
kras low,12,0.0158,0.0006605000000000001,-0.196078431372549,0.38781817548867714,0.7894082533818517
kras high,3,0.03697,0.001262,-0.019607843137254943,1.0,1.0
Src low,8,0.011885,0.000661,-0.1029411764705882,0.7047248187087654,0.9848843259500881
Src high,4,0.005645000000000001,0.0001825,-0.2941176470588235,0.3947041266909258,0.7894082533818517
low kras+Src,15,0.02607,0.001308,0.050980392156862786,0.8207369382917402,0.9848843259500881
high kras+Src,4,0.0194,0.0004285,-0.32352941176470584,0.34685414238464773,0.7894082533818517
